fx_etaria;casos_notificados;mediana_da_estimativa;Q1;Q3;IC80I;IC80S;IC90I;IC90S;LI;LS;media_movel;CO_MUN_RES;CO_MUN_RES_nome;CO_UF;DS_UF_SIGLA;epiweek;epiyear
< 2;0;0;;;;;;;;;;110020;PORTO VELHO;11;RO;1;2020
< 2;0;0;;;;;;;;;0;110020;PORTO VELHO;11;RO;2;2020
< 2;0;0;;;;;;;;;0;110020;PORTO VELHO;11;RO;3;2020
< 2;1;1;;;;;;;;;0;110020;PORTO VELHO;11;RO;4;2020
< 2;0;0;;;;;;;;;1;110020;PORTO VELHO;11;RO;5;2020
< 2;1;1;;;;;;;;;0;110020;PORTO VELHO;11;RO;6;2020
< 2;0;0;;;;;;;;;0;110020;PORTO VELHO;11;RO;7;2020
< 2;0;0;;;;;;;;;0;110020;PORTO VELHO;11;RO;8;2020
< 2;0;0;;;;;;;;;0;110020;PORTO VELHO;11;RO;9;2020
< 2;0;0;;;;;;;;;0;110020;PORTO VELHO;11;RO;10;2020
< 2;0;0;;;;;;;;;0;110020;PORTO VELHO;11;RO;11;2020
< 2;0;0;;;;;;;;;0;110020;PORTO VELHO;11;RO;12;2020
< 2;1;1;;;;;;;;;0;110020;PORTO VELHO;11;RO;13;2020
< 2;0;0;;;;;;;;;0;110020;PORTO VELHO;11;RO;14;2020
< 2;0;0;;;;;;;;;0;110020;PORTO VELHO;11;RO;15;2020
< 2;0;0;;;;;;;;;0;110020;PORTO VELHO;11;RO;16;2020
< 2;0;0;;;;;;;;;0;110020;PORTO VELHO;11;RO;17;2020
< 2;0;0;;;;;;;;;0;110020;PORTO VELHO;11;RO;18;2020
< 2;0;0;;;;;;;;;0;110020;PORTO VELHO;11;RO;19;2020
< 2;0;0;;;;;;;;;0;110020;PORTO VELHO;11;RO;20;2020
< 2;0;0;;;;;;;;;1;110020;PORTO VELHO;11;RO;21;2020
< 2;2;2;;;;;;;;;1;110020;PORTO VELHO;11;RO;22;2020
< 2;2;2;;;;;;;;;1;110020;PORTO VELHO;11;RO;23;2020
< 2;0;0;;;;;;;;;2;110020;PORTO VELHO;11;RO;24;2020
< 2;3;3;;;;;;;;;1;110020;PORTO VELHO;11;RO;25;2020
< 2;1;1;;;;;;;;;2;110020;PORTO VELHO;11;RO;26;2020
< 2;1;1;;;;;;;;;1;110020;PORTO VELHO;11;RO;27;2020
< 2;1;1;;;;;;;;;1;110020;PORTO VELHO;11;RO;28;2020
< 2;2;2;;;;;;;;;2;110020;PORTO VELHO;11;RO;29;2020
< 2;2;2;;;;;;;;;1;110020;PORTO VELHO;11;RO;30;2020
< 2;0;0;;;;;;;;;1;110020;PORTO VELHO;11;RO;31;2020
< 2;2;2;;;;;;;;;2;110020;PORTO VELHO;11;RO;32;2020
< 2;5;5;;;;;;;;;2;110020;PORTO VELHO;11;RO;33;2020
< 2;0;0;;;;;;;;;2;110020;PORTO VELHO;11;RO;34;2020
< 2;1;1;;;;;;;;;1;110020;PORTO VELHO;11;RO;35;2020
< 2;1;1;;;;;;;;;1;110020;PORTO VELHO;11;RO;36;2020
< 2;1;1;;;;;;;;;1;110020;PORTO VELHO;11;RO;37;2020
< 2;0;0;;;;;;;;;1;110020;PORTO VELHO;11;RO;38;2020
< 2;1;1;;;;;;;;;1;110020;PORTO VELHO;11;RO;39;2020
< 2;1;1;;;;;;;;;1;110020;PORTO VELHO;11;RO;40;2020
< 2;0;0;;;;;;;;;1;110020;PORTO VELHO;11;RO;41;2020
< 2;1;1;;;;;;;;;0;110020;PORTO VELHO;11;RO;42;2020
< 2;0;0;;;;;;;;;1;110020;PORTO VELHO;11;RO;43;2020
< 2;1;1;;;;;;;;;1;110020;PORTO VELHO;11;RO;44;2020
< 2;1;1;;;;;;;;;1;110020;PORTO VELHO;11;RO;45;2020
< 2;0;0;;;;;;;;;0;110020;PORTO VELHO;11;RO;46;2020
< 2;0;0;;;;;;;;;0;110020;PORTO VELHO;11;RO;47;2020
< 2;0;0;;;;;;;;;1;110020;PORTO VELHO;11;RO;48;2020
< 2;2;2;;;;;;;;;1;110020;PORTO VELHO;11;RO;49;2020
< 2;1;1;;;;;;;;;1;110020;PORTO VELHO;11;RO;50;2020
< 2;1;1;;;;;;;;;1;110020;PORTO VELHO;11;RO;51;2020
< 2;0;0;;;;;;;;;0;110020;PORTO VELHO;11;RO;52;2020
< 2;0;0;;;;;;;;;0;110020;PORTO VELHO;11;RO;53;2020
< 2;0;0;;;;;;;;;0;110020;PORTO VELHO;11;RO;1;2021
< 2;0;0;;;;;;;;;0;110020;PORTO VELHO;11;RO;2;2021
< 2;0;0;;;;;;;;;0;110020;PORTO VELHO;11;RO;3;2021
< 2;1;1;;;;;;;;;0;110020;PORTO VELHO;11;RO;4;2021
< 2;0;0;;;;;;;;;0;110020;PORTO VELHO;11;RO;5;2021
< 2;0;0;;;;;;;;;0;110020;PORTO VELHO;11;RO;6;2021
< 2;0;0;;;;;;;;;0;110020;PORTO VELHO;11;RO;7;2021
< 2;0;0;;;;;;;;;0;110020;PORTO VELHO;11;RO;8;2021
