Q1;Q3;IC80I;IC80S;IC90I;IC90S;IC95I;IC95S;Casos semanais reportados até a última atualização;casos estimados;média móvel;tendência de longo prazo;tendência de curto prazo;CO_MUN_RES;CO_MUN_RES_nome;CO_UF;DS_UF_SIGLA;População;Grupo Jurídico;Semana epidemiológica;Ano epidemiológico;escala
;;;;;;;;0,00000000000000e+00;0,00000000000000e+00;;;;110020;PORTO VELHO;11;RO;529544;0;1;2020;casos
;;;;;;;;2,00000000000000e+00;2,00000000000000e+00;1,00000000000000e+00;;;110020;PORTO VELHO;11;RO;529544;0;2;2020;casos
;;;;;;;;0,00000000000000e+00;0,00000000000000e+00;2,00000000000000e+00;;;110020;PORTO VELHO;11;RO;529544;0;3;2020;casos
;;;;;;;;3,00000000000000e+00;3,00000000000000e+00;1,00000000000000e+00;;;110020;PORTO VELHO;11;RO;529544;0;4;2020;casos
;;;;;;;;0,00000000000000e+00;0,00000000000000e+00;2,00000000000000e+00;;;110020;PORTO VELHO;11;RO;529544;0;5;2020;casos
;;;;;;;;2,00000000000000e+00;2,00000000000000e+00;1,00000000000000e+00;;;110020;PORTO VELHO;11;RO;529544;0;6;2020;casos
;;;;;;;;0,00000000000000e+00;0,00000000000000e+00;1,00000000000000e+00;;;110020;PORTO VELHO;11;RO;529544;0;7;2020;casos
;;;;;;;;0,00000000000000e+00;0,00000000000000e+00;1,00000000000000e+00;;;110020;PORTO VELHO;11;RO;529544;0;8;2020;casos
;;;;;;;;2,00000000000000e+00;2,00000000000000e+00;1,00000000000000e+00;;;110020;PORTO VELHO;11;RO;529544;0;9;2020;casos
;;;;;;;;1,00000000000000e+00;1,00000000000000e+00;2,00000000000000e+00;;;110020;PORTO VELHO;11;RO;529544;0;10;2020;casos
;;;;;;;;4,00000000000000e+00;4,00000000000000e+00;2,00000000000000e+00;;;110020;PORTO VELHO;11;RO;529544;0;11;2020;casos
;;;;;;;;2,00000000000000e+00;2,00000000000000e+00;4,00000000000000e+00;;;110020;PORTO VELHO;11;RO;529544;0;12;2020;casos
;;;;;;;;6,00000000000000e+00;6,00000000000000e+00;7,00000000000000e+00;;;110020;PORTO VELHO;11;RO;529544;0;13;2020;casos
;;;;;;;;1,20000000000000e+01;1,20000000000000e+01;1,20000000000000e+01;;;110020;PORTO VELHO;11;RO;529544;0;14;2020;casos
;;;;;;;;1,80000000000000e+01;1,80000000000000e+01;1,90000000000000e+01;;;110020;PORTO VELHO;11;RO;529544;0;15;2020;casos
;;;;;;;;2,70000000000000e+01;2,70000000000000e+01;2,20000000000000e+01;;;110020;PORTO VELHO;11;RO;529544;0;16;2020;casos
;;;;;;;;2,20000000000000e+01;2,20000000000000e+01;3,10000000000000e+01;;;110020;PORTO VELHO;11;RO;529544;0;17;2020;casos
;;;;;;;;4,30000000000000e+01;4,30000000000000e+01;3,50000000000000e+01;;;110020;PORTO VELHO;11;RO;529544;0;18;2020;casos
;;;;;;;;4,00000000000000e+01;4,00000000000000e+01;4,70000000000000e+01;;;110020;PORTO VELHO;11;RO;529544;0;19;2020;casos
;;;;;;;;5,70000000000000e+01;5,70000000000000e+01;5,50000000000000e+01;;;110020;PORTO VELHO;11;RO;529544;0;20;2020;casos
;;;;;;;;6,90000000000000e+01;6,90000000000000e+01;7,60000000000000e+01;;;110020;PORTO VELHO;11;RO;529544;0;21;2020;casos
;;;;;;;;1,01000000000000e+02;1,01000000000000e+02;9,10000000000000e+01;;;110020;PORTO VELHO;11;RO;529544;0;22;2020;casos
;;;;;;;;1,02000000000000e+02;1,02000000000000e+02;1,02000000000000e+02;;;110020;PORTO VELHO;11;RO;529544;0;23;2020;casos
;;;;;;;;1,02000000000000e+02;1,02000000000000e+02;1,04000000000000e+02;;;110020;PORTO VELHO;11;RO;529544;0;24;2020;casos
;;;;;;;;1,09000000000000e+02;1,09000000000000e+02;9,80000000000000e+01;;;110020;PORTO VELHO;11;RO;529544;0;25;2020;casos
;;;;;;;;8,20000000000000e+01;8,20000000000000e+01;9,50000000000000e+01;;;110020;PORTO VELHO;11;RO;529544;0;26;2020;casos
;;;;;;;;9,50000000000000e+01;9,50000000000000e+01;8,80000000000000e+01;;;110020;PORTO VELHO;11;RO;529544;0;27;2020;casos
;;;;;;;;8,70000000000000e+01;8,70000000000000e+01;8,10000000000000e+01;;;110020;PORTO VELHO;11;RO;529544;0;28;2020;casos
;;;;;;;;6,10000000000000e+01;6,10000000000000e+01;7,40000000000000e+01;;;110020;PORTO VELHO;11;RO;529544;0;29;2020;casos
;;;;;;;;7,50000000000000e+01;7,50000000000000e+01;6,60000000000000e+01;;;110020;PORTO VELHO;11;RO;529544;0;30;2020;casos
;;;;;;;;6,10000000000000e+01;6,10000000000000e+01;6,30000000000000e+01;;;110020;PORTO VELHO;11;RO;529544;0;31;2020;casos
;;;;;;;;5,40000000000000e+01;5,40000000000000e+01;5,70000000000000e+01;;;110020;PORTO VELHO;11;RO;529544;0;32;2020;casos
;;;;;;;;5,70000000000000e+01;5,70000000000000e+01;5,30000000000000e+01;;;110020;PORTO VELHO;11;RO;529544;0;33;2020;casos
;;;;;;;;4,90000000000000e+01;4,90000000000000e+01;4,70000000000000e+01;;;110020;PORTO VELHO;11;RO;529544;0;34;2020;casos
;;;;;;;;3,60000000000000e+01;3,60000000000000e+01;4,70000000000000e+01;;;110020;PORTO VELHO;11;RO;529544;0;35;2020;casos
;;;;;;;;5,70000000000000e+01;5,70000000000000e+01;4,30000000000000e+01;;;110020;PORTO VELHO;11;RO;529544;0;36;2020;casos
