SG_UF_NOT;fx_etaria;SRAG;SARS2;VSR;FLU;FLU_A;FLU_AH1N1;FLU_AH3N2;FLU_ANSUBTPD;FLU_ANSUBTPV;FLU_AINC;FLU_AOUT;FLU_B;FLU_BVIC;FLU_BYAM;FLU_BNLIN;FLU_BINC;FLU_BOUT;RINO;ADNO;BOCA;METAP;PARA1;PARA2;PARA3;PARA4;OUTROS;positivos;negativos;aguardando;DS_UF_SIGLA;epiyear;epiweek;Semana epidemiológica;Ano epidemiológico
0;< 2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;BR;2009;16;16;2009
0;< 2;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;BR;2009;17;17;2009
0;< 2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;BR;2009;18;18;2009
0;< 2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BR;2009;19;19;2009
0;< 2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;BR;2009;20;20;2009
0;< 2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;BR;2009;21;21;2009
0;< 2;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;BR;2009;22;22;2009
0;< 2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;BR;2009;23;23;2009
0;< 2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BR;2009;24;24;2009
0;< 2;6;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;BR;2009;25;25;2009
0;< 2;10;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;BR;2009;26;26;2009
0;< 2;40;0;0;13;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;15;18;0;BR;2009;27;27;2009
0;< 2;121;0;0;41;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;46;53;0;BR;2009;28;28;2009
0;< 2;314;0;0;114;114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;136;123;0;BR;2009;29;29;2009
0;< 2;542;0;0;184;184;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;204;201;0;BR;2009;30;30;2009
0;< 2;853;0;0;193;192;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;46;239;345;0;BR;2009;31;31;2009
0;< 2;798;0;0;134;134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;182;372;0;BR;2009;32;32;2009
0;< 2;683;0;0;91;91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;131;335;0;BR;2009;33;33;2009
0;< 2;602;0;0;61;60;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;43;104;291;0;BR;2009;34;34;2009
0;< 2;596;0;0;60;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;99;299;0;BR;2009;35;35;2009
0;< 2;440;0;0;59;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;94;215;0;BR;2009;36;36;2009
0;< 2;375;0;0;40;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;81;161;0;BR;2009;37;37;2009
0;< 2;298;0;0;36;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;78;128;0;BR;2009;38;38;2009
0;< 2;192;0;0;23;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;46;96;0;BR;2009;39;39;2009
0;< 2;181;0;0;33;32;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;21;54;79;0;BR;2009;40;40;2009
0;< 2;172;0;0;15;14;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;33;47;85;0;BR;2009;41;41;2009
0;< 2;147;0;0;15;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;45;78;0;BR;2009;42;42;2009
0;< 2;127;0;0;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;24;75;0;BR;2009;43;43;2009
0;< 2;132;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;33;76;0;BR;2009;44;44;2009
0;< 2;104;0;0;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;25;55;0;BR;2009;45;45;2009
0;< 2;84;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;17;57;0;BR;2009;46;46;2009
0;< 2;73;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;18;36;0;BR;2009;47;47;2009
0;< 2;78;0;0;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;21;33;0;BR;2009;48;48;2009
0;< 2;51;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;11;30;0;BR;2009;49;49;2009
0;< 2;61;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;11;42;0;BR;2009;50;50;2009
0;< 2;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;24;0;BR;2009;51;51;2009
0;< 2;34;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;8;19;0;BR;2009;52;52;2009
0;< 2;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;16;0;BR;2010;1;1;2010
0;< 2;17;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;8;0;BR;2010;2;2;2010
0;< 2;18;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;9;0;BR;2010;3;3;2010
0;< 2;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;21;0;BR;2010;4;4;2010
0;< 2;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;9;19;0;BR;2010;5;5;2010
0;< 2;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;12;11;0;BR;2010;6;6;2010
0;< 2;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;20;0;BR;2010;7;7;2010
0;< 2;42;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;12;27;0;BR;2010;8;8;2010
0;< 2;82;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;18;50;0;BR;2010;9;9;2010
0;< 2;150;0;0;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;31;96;0;BR;2010;10;10;2010
0;< 2;128;0;0;8;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;35;43;55;0;BR;2010;11;11;2010
0;< 2;155;0;0;4;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;27;31;97;0;BR;2010;12;12;2010
0;< 2;154;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;42;79;0;BR;2010;13;13;2010
0;< 2;165;0;0;6;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;38;44;88;0;BR;2010;14;14;2010
0;< 2;141;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;36;86;0;BR;2010;15;15;2010
0;< 2;131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;31;74;0;BR;2010;16;16;2010
0;< 2;104;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;25;62;0;BR;2010;17;17;2010
0;< 2;88;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;28;46;0;BR;2010;18;18;2010
0;< 2;110;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;22;76;0;BR;2010;19;19;2010
0;< 2;114;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;18;82;0;BR;2010;20;20;2010
0;< 2;89;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;13;64;0;BR;2010;21;21;2010
0;< 2;76;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;15;52;0;BR;2010;22;22;2010
0;< 2;57;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;18;33;0;BR;2010;23;23;2010
0;< 2;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;13;35;0;BR;2010;24;24;2010
0;< 2;52;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;9;35;0;BR;2010;25;25;2010
0;< 2;50;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10;11;32;0;BR;2010;26;26;2010
0;< 2;58;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10;11;42;0;BR;2010;27;27;2010
0;< 2;36;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;10;23;0;BR;2010;28;28;2010
0;< 2;35;0;0;3;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;8;23;0;BR;2010;29;29;2010
