fx_etaria;casos_notificados;mediana_da_estimativa;Q1;Q3;IC80I;IC80S;IC90I;IC90S;LI;LS;media_movel;SG_UF_NOT;DS_UF_SIGLA;epiweek;epiyear
< 2;120;120;;;;;;;;;;0;BR;1;2020
< 2;109;109;;;;;;;;;114;0;BR;2;2020
< 2;113;113;;;;;;;;;102;0;BR;3;2020
< 2;85;85;;;;;;;;;98;0;BR;4;2020
< 2;96;96;;;;;;;;;94;0;BR;5;2020
< 2;102;102;;;;;;;;;112;0;BR;6;2020
< 2;138;138;;;;;;;;;146;0;BR;7;2020
< 2;197;197;;;;;;;;;178;0;BR;8;2020
< 2;199;199;;;;;;;;;227;0;BR;9;2020
< 2;285;285;;;;;;;;;329;0;BR;10;2020
< 2;503;503;;;;;;;;;589;0;BR;11;2020
< 2;980;980;;;;;;;;;763;0;BR;12;2020
< 2;806;806;;;;;;;;;790;0;BR;13;2020
< 2;585;585;;;;;;;;;602;0;BR;14;2020
< 2;414;414;;;;;;;;;461;0;BR;15;2020
< 2;385;385;;;;;;;;;384;0;BR;16;2020
< 2;352;352;;;;;;;;;360;0;BR;17;2020
< 2;342;342;;;;;;;;;329;0;BR;18;2020
< 2;294;294;;;;;;;;;317;0;BR;19;2020
< 2;314;314;;;;;;;;;296;0;BR;20;2020
< 2;279;279;;;;;;;;;285;0;BR;21;2020
< 2;262;262;;;;;;;;;273;0;BR;22;2020
< 2;278;278;;;;;;;;;273;0;BR;23;2020
< 2;279;279;;;;;;;;;296;0;BR;24;2020
< 2;331;331;;;;;;;;;310;0;BR;25;2020
< 2;321;321;;;;;;;;;339;0;BR;26;2020
< 2;366;366;;;;;;;;;362;0;BR;27;2020
< 2;400;400;;;;;;;;;392;0;BR;28;2020
< 2;409;409;;;;;;;;;397;0;BR;29;2020
< 2;383;383;;;;;;;;;390;0;BR;30;2020
< 2;378;378;;;;;;;;;361;0;BR;31;2020
< 2;321;321;;;;;;;;;375;0;BR;32;2020
< 2;427;427;;;;;;;;;352;0;BR;33;2020
< 2;309;309;;;;;;;;;353;0;BR;34;2020
< 2;324;324;;;;;;;;;320;0;BR;35;2020
< 2;326;326;;;;;;;;;328;0;BR;36;2020
< 2;335;335;;;;;;;;;326;0;BR;37;2020
< 2;316;316;;;;;;;;;328;0;BR;38;2020
< 2;332;332;;;;;;;;;325;0;BR;39;2020
< 2;328;328;;;;;;;;;321;0;BR;40;2020
< 2;302;302;;;;;;;;;309;0;BR;41;2020
< 2;298;298;;;;;;;;;307;0;BR;42;2020
< 2;321;321;;;;;;;;;304;0;BR;43;2020
< 2;294;294;;;;;;;;;313;0;BR;44;2020
< 2;324;324;;;;;;;;;332;0;BR;45;2020
< 2;379;379;;;;;;;;;365;0;BR;46;2020
< 2;391;391;;;;;;;;;380;0;BR;47;2020
< 2;369;369;;;;;;;;;394;0;BR;48;2020
< 2;422;422;;;;;;;;;391;0;BR;49;2020
< 2;383;383;;;;;;;;;392;0;BR;50;2020
< 2;371;371;;;;;;;;;388;0;BR;51;2020
< 2;410;410;;;;;;;;;421;0;BR;52;2020
< 2;483;483;;;;;;;;;493;0;BR;53;2020
< 2;587;587;;;;;;;;;547;0;BR;1;2021
< 2;571;571;;;;;;;;;586;0;BR;2;2021
< 2;600;600;;;;;;;;;586;0;BR;3;2021
< 2;588;588;;;;;;;;;621;0;BR;4;2021
< 2;675;675;;;;;;;;;660;0;BR;5;2021
< 2;717;717;;;;;;;;;783;0;BR;6;2021
< 2;957;957;;;;;;;;;876;0;BR;7;2021
< 2;953;953;;;;;;;;;1065;0;BR;8;2021
< 2;1286;1286;;;;;;;;;1145;0;BR;9;2021
< 2;1197;1197;;;;;;;;;1258;0;BR;10;2021
< 2;1292;1292;;;;;;;;;1197;0;BR;11;2021
< 2;1102;1102;;;;;;;;;1146;0;BR;12;2021
< 2;1043;1043;;;;;;;;;1074;0;BR;13;2021
< 2;1076;1076;;;;;;;;;1008;0;BR;14;2021
< 2;905;905;;;;;;;;;990;0;BR;15;2021
< 2;988;988;;;;;;;;;951;0;BR;16;2021
< 2;959;959;;;;;;;;;968;0;BR;17;2021
< 2;958;958;;;;;;;;;989;0;BR;18;2021
< 2;1049;1049;;;;;;;;;1035;0;BR;19;2021
< 2;1097;1097;;;;;;;;;1044;0;BR;20;2021
< 2;985;985;;;;;;;;;994;0;BR;21;2021
< 2;901;901;;;;;;;;;900;0;BR;22;2021
< 2;814;814;;;;;;;;;839;0;BR;23;2021
< 2;802;802;;;;;;;;;781;0;BR;24;2021
< 2;727;727;;;;;;;;;772;0;BR;25;2021
< 2;787;787;;;;;;;;;778;0;BR;26;2021
< 2;820;820;;;;;;;;;783;0;BR;27;2021
< 2;743;743;;;;;;;;;758;0;BR;28;2021
< 2;711;711;;;;;;;;;700;0;BR;29;2021
< 2;647;647;;;;;;;;;682;0;BR;30;2021
< 2;688;688;;;;;;;;;685;0;BR;31;2021
< 2;721;721;;;;;;;;;703;0;BR;32;2021
< 2;700;700;;;;;;;;;696;0;BR;33;2021
< 2;666;666;;;;;;;;;679;0;BR;34;2021
< 2;671;671;;;;;;;;;664;0;BR;35;2021
< 2;655;655;;;;;;;;;657;0;BR;36;2021
< 2;645;645;;;;;;;;;689;0;BR;37;2021
< 2;768;768;;;;;;;;;712;0;BR;38;2021
< 2;723;723;;;;;;;;;737;0;BR;39;2021
< 2;720;720;;;;;;;;;760;0;BR;40;2021
< 2;836;836;;;;;;;;;781;0;BR;41;2021
< 2;788;788;;;;;;;;;814;0;BR;42;2021
< 2;818;818;;;;;;;;;849;0;BR;43;2021
< 2;941;941;;;;;;;;;905;0;BR;44;2021
< 2;956;956;;;;;;;;;978;0;BR;45;2021
< 2;1038;1038;;;;;;;;;1014;0;BR;46;2021
< 2;1047;1047;;;;;;;;;1054;0;BR;47;2021
< 2;1077;1077;;;;;;;;;1086;0;BR;48;2021
< 2;1134;1134;;;;;;;;;1133;0;BR;49;2021
< 2;1188;1188;;;;;;;;;1180;0;BR;50;2021
< 2;1219;1219;;;;;;;;;1256;0;BR;51;2021
< 2;1361;1361;;;;;;;;;1277;0;BR;52;2021
< 2;1252;1252;;;;;;;;;1249;0;BR;1;2022
< 2;1133;1133;;;;;;;;;1137;0;BR;2;2022
< 2;1026;1026;;;;;;;;;1002;0;BR;3;2022
< 2;848;848;;;;;;;;;863;0;BR;4;2022
< 2;714;714;;;;;;;;;749;0;BR;5;2022
< 2;684;684;;;;;;;;;748;0;BR;6;2022
< 2;846;846;;;;;;;;;814;0;BR;7;2022
< 2;913;913;;;;;;;;;961;0;BR;8;2022
< 2;1125;1125;;;;;;;;;1051;0;BR;9;2022
< 2;1115;1115;;;;;;;;;1153;0;BR;10;2022
< 2;1219;1219;;;;;;;;;1228;0;BR;11;2022
< 2;1351;1351;;;;;;;;;1348;0;BR;12;2022
< 2;1474;1474;;;;;;;;;1465;0;BR;13;2022
< 2;1570;1570;;;;;;;;;1570;0;BR;14;2022
< 2;1666;1666;;;;;;;;;1684;0;BR;15;2022
< 2;1815;1815;;;;;;;;;1695;0;BR;16;2022
< 2;1603;1603;;;;;;;;;1741;0;BR;17;2022
< 2;1806;1806;;;;;;;;;1751;0;BR;18;2022
< 2;1843;1843;;;;;;;;;1867;0;BR;19;2022
< 2;1953;1953;;;;;;;;;1857;0;BR;20;2022
< 2;1775;1775;;;;;;;;;1816;0;BR;21;2022
< 2;1719;1719;;;;;;;;;1719;0;BR;22;2022
< 2;1664;1664;;;;;;;;;1636;0;BR;23;2022
< 2;1525;1525;;;;;;;;;1574;0;BR;24;2022
< 2;1533;1533;;;;;;;;;1501;0;BR;25;2022
< 2;1446;1446;;;;;;;;;1429;0;BR;26;2022
< 2;1307;1307;;;;;;;;;1297;0;BR;27;2022
< 2;1138;1138;;;;;;;;;1142;0;BR;28;2022
< 2;981;981;;;;;;;;;940;0;BR;29;2022
< 2;701;701;;;;;;;;;803;0;BR;30;2022
< 2;727;727;;;;;;;;;701;0;BR;31;2022
< 2;676;676;;;;;;;;;709;0;BR;32;2022
< 2;725;725;;;;;;;;;678;0;BR;33;2022
< 2;633;633;;;;;;;;;671;0;BR;34;2022
< 2;656;656;;;;;;;;;643;0;BR;35;2022
< 2;641;641;;;;;;;;;641;0;BR;36;2022
< 2;625;625;;;;;;;;;632;0;BR;37;2022
< 2;629;629;;;;;;;;;647;0;BR;38;2022
< 2;687;687;;;;;;;;;675;0;BR;39;2022
< 2;708;708;;;;;;;;;739;0;BR;40;2022
< 2;823;823;;;;;;;;;790;0;BR;41;2022
< 2;840;840;;;;;;;;;810;0;BR;42;2022
< 2;768;768;;;;;;;;;825;0;BR;43;2022
< 2;866;866;;;;;;;;;860;0;BR;44;2022
< 2;945;945;;;;;;;;;909;0;BR;45;2022
< 2;916;916;;;;;;;;;904;0;BR;46;2022
< 2;851;851;;;;;;;;;863;0;BR;47;2022
< 2;823;823;;;;;;;;;858;0;BR;48;2022
< 2;899;899;;;;;;;;;837;0;BR;49;2022
< 2;788;788;;;;;;;;;867;0;BR;50;2022
< 2;913;913;;;;;;;;;835;0;BR;51;2022
< 2;803;803;;;;;;;;;813;0;BR;52;2022
< 2;724;724;;;;;;;;;711;0;BR;1;2023
< 2;605;605;;;;;;;;;632;0;BR;2;2023
< 2;567;567;;;;;;;;;571;0;BR;3;2023
< 2;542;542;;;;;;;;;579;0;BR;4;2023
< 2;628;628;;;;;;;;;650;0;BR;5;2023
< 2;781;781;;;;;;;;;805;0;BR;6;2023
< 2;1007;1007;;;;;;;;;974;0;BR;7;2023
< 2;1134;1134;;;;;;;;;1124;0;BR;8;2023
< 2;1232;1232;;;;;;;;;1281;0;BR;9;2023
< 2;1477;1477;;;;;;;;;1511;0;BR;10;2023
< 2;1824;1824;;;;;;;;;1782;0;BR;11;2023
< 2;2046;2046;;;;;;;;;1975;0;BR;12;2023
< 2;2054;2054;;;;;;;;;2028;0;BR;13;2023
< 2;1983;1983;;;;;;;;;2098;0;BR;14;2023
< 2;2257;2257;;;;;;;;;2110;0;BR;15;2023
< 2;2090;2090;;;;;;;;;2097;0;BR;16;2023
< 2;1943;1943;;;;;;;;;2126;0;BR;17;2023
< 2;2346;2346;;;;;;;;;2164;0;BR;18;2023
< 2;2204;2204;;;;;;;;;2341;0;BR;19;2023
< 2;2473;2473;;;;;;;;;2304;0;BR;20;2023
< 2;2235;2235;;;;;;;;;2280;0;BR;21;2023
< 2;2132;2132;;;;;;;;;2117;0;BR;22;2023
< 2;1983;1983;;;;;;;;;1968;0;BR;23;2023
< 2;1788;1788;;;;;;;;;1887;0;BR;24;2023
