Q1;Q3;IC80I;IC80S;IC90I;IC90S;IC95I;IC95S;Casos semanais reportados até a última atualização;casos estimados;média móvel;tendência de longo prazo;tendência de curto prazo;Semana epidemiológica;Ano epidemiológico;População;CO_UF;DS_UF_SIGLA;Grupo Jurídico;escala
;;;;;;;;3,81000000000000e+02;3,81000000000000e+02;;;;1;2020;209164889;0;BR;0;casos
;;;;;;;;3,82000000000000e+02;3,82000000000000e+02;3,87000000000000e+02;;;2;2020;209164889;0;BR;0;casos
;;;;;;;;3,98000000000000e+02;3,98000000000000e+02;3,80000000000000e+02;;;3;2020;209164889;0;BR;0;casos
;;;;;;;;3,61000000000000e+02;3,61000000000000e+02;3,93000000000000e+02;;;4;2020;209164889;0;BR;0;casos
;;;;;;;;4,19000000000000e+02;4,19000000000000e+02;4,03000000000000e+02;;;5;2020;209164889;0;BR;0;casos
;;;;;;;;4,30000000000000e+02;4,30000000000000e+02;4,63000000000000e+02;;;6;2020;209164889;0;BR;0;casos
;;;;;;;;5,41000000000000e+02;5,41000000000000e+02;5,70000000000000e+02;;;7;2020;209164889;0;BR;0;casos
;;;;;;;;7,39000000000000e+02;7,39000000000000e+02;7,30000000000000e+02;;;8;2020;209164889;0;BR;0;casos
;;;;;;;;9,11000000000000e+02;9,11000000000000e+02;1,04800000000000e+03;;;9;2020;209164889;0;BR;0;casos
;;;;;;;;1,49300000000000e+03;1,49300000000000e+03;2,09300000000000e+03;;;10;2020;209164889;0;BR;0;casos
;;;;;;;;3,87400000000000e+03;3,87400000000000e+03;5,04500000000000e+03;;;11;2020;209164889;0;BR;0;casos
;;;;;;;;9,76700000000000e+03;9,76700000000000e+03;8,24200000000000e+03;;;12;2020;209164889;0;BR;0;casos
;;;;;;;;1,10850000000000e+04;1,10850000000000e+04;1,08310000000000e+04;;;13;2020;209164889;0;BR;0;casos
;;;;;;;;1,16400000000000e+04;1,16400000000000e+04;1,21230000000000e+04;;;14;2020;209164889;0;BR;0;casos
;;;;;;;;1,36450000000000e+04;1,36450000000000e+04;1,40930000000000e+04;;;15;2020;209164889;0;BR;0;casos
