"SG_UF_NOT";"DS_UF_SIGLA";"Ano.epidemiológico";"Semana.epidemiológica";"virus";"Median";"LI";"LS";"casos.registrados";"casos.estimados";"media.movel"
0;"BR";2022;1;"SARS2";NA;NA;NA;5719;5719;NA
0;"BR";2022;1;"VSR";NA;NA;NA;334;334;NA
0;"BR";2022;1;"FLU_A";NA;NA;NA;2091;2091;NA
0;"BR";2022;1;"FLU_B";NA;NA;NA;10;10;NA
0;"BR";2022;1;"RINO";NA;NA;NA;36;36;NA
0;"BR";2022;1;"METAP";NA;NA;NA;11;11;NA
0;"BR";2022;2;"SARS2";NA;NA;NA;10019;10019;9380
0;"BR";2022;2;"VSR";NA;NA;NA;229;229;244
0;"BR";2022;2;"FLU_A";NA;NA;NA;1045;1045;1174
0;"BR";2022;2;"FLU_B";NA;NA;NA;7;7;8
0;"BR";2022;2;"RINO";NA;NA;NA;19;19;23
0;"BR";2022;2;"METAP";NA;NA;NA;7;7;9
0;"BR";2022;3;"SARS2";NA;NA;NA;12401;12401;10957
0;"BR";2022;3;"VSR";NA;NA;NA;168;168;173
0;"BR";2022;3;"FLU_A";NA;NA;NA;386;386;526
0;"BR";2022;3;"FLU_B";NA;NA;NA;7;7;9
0;"BR";2022;3;"RINO";NA;NA;NA;14;14;18
0;"BR";2022;3;"METAP";NA;NA;NA;8;8;8
0;"BR";2022;4;"SARS2";NA;NA;NA;10450;10450;10410
0;"BR";2022;4;"VSR";NA;NA;NA;123;123;154
0;"BR";2022;4;"FLU_A";NA;NA;NA;147;147;202
0;"BR";2022;4;"FLU_B";NA;NA;NA;13;13;8
0;"BR";2022;4;"RINO";NA;NA;NA;20;20;18
0;"BR";2022;4;"METAP";NA;NA;NA;10;10;9
0;"BR";2022;5;"SARS2";NA;NA;NA;8378;8378;7937
0;"BR";2022;5;"VSR";NA;NA;NA;170;170;163
0;"BR";2022;5;"FLU_A";NA;NA;NA;72;72;87
0;"BR";2022;5;"FLU_B";NA;NA;NA;3;3;8
0;"BR";2022;5;"RINO";NA;NA;NA;19;19;23
0;"BR";2022;5;"METAP";NA;NA;NA;9;9;12
0;"BR";2022;6;"SARS2";NA;NA;NA;4983;4983;5446
0;"BR";2022;6;"VSR";NA;NA;NA;195;195;193
0;"BR";2022;6;"FLU_A";NA;NA;NA;42;42;49
0;"BR";2022;6;"FLU_B";NA;NA;NA;8;8;4
0;"BR";2022;6;"RINO";NA;NA;NA;30;30;34
0;"BR";2022;6;"METAP";NA;NA;NA;17;17;12
0;"BR";2022;7;"SARS2";NA;NA;NA;2978;2978;3249
0;"BR";2022;7;"VSR";NA;NA;NA;214;214;229
0;"BR";2022;7;"FLU_A";NA;NA;NA;32;32;31
0;"BR";2022;7;"FLU_B";NA;NA;NA;2;2;5
0;"BR";2022;7;"RINO";NA;NA;NA;53;53;53
0;"BR";2022;7;"METAP";NA;NA;NA;9;9;13
0;"BR";2022;8;"SARS2";NA;NA;NA;1785;1785;1997
0;"BR";2022;8;"VSR";NA;NA;NA;277;277;275
0;"BR";2022;8;"FLU_A";NA;NA;NA;18;18;27
0;"BR";2022;8;"FLU_B";NA;NA;NA;5;5;4
0;"BR";2022;8;"RINO";NA;NA;NA;77;77;87
0;"BR";2022;8;"METAP";NA;NA;NA;14;14;16
0;"BR";2022;9;"SARS2";NA;NA;NA;1229;1229;1259
0;"BR";2022;9;"VSR";NA;NA;NA;335;335;324
0;"BR";2022;9;"FLU_A";NA;NA;NA;31;31;21
0;"BR";2022;9;"FLU_B";NA;NA;NA;4;4;4
0;"BR";2022;9;"RINO";NA;NA;NA;131;131;126
0;"BR";2022;9;"METAP";NA;NA;NA;24;24;22
0;"BR";2022;10;"SARS2";NA;NA;NA;763;763;838
0;"BR";2022;10;"VSR";NA;NA;NA;361;361;374
0;"BR";2022;10;"FLU_A";NA;NA;NA;13;13;22
