"Muito_baixo","baixo","moderado","alto","muito_alto","regiao","cod_regiao","escala","escala_reg"
"0.561097199677175","0.841278887800325","1.14358591584225","1.57004070825242","2.10014502139839","Norte","Norte","incidencia","Região"
"0.435984699283318","0.940839073636508","1.35333381674207","1.78017320135354","2.31611410011823","Nordeste","Nordeste","incidencia","Região"
"0.627414211742118","1.13834692244875","1.7282259712232","2.28651330954394","3.33643115636077","Sudeste","Sudeste","incidencia","Região"
"0.845305250171624","1.47050864519444","2.18584603372979","2.84047241515385","4.12486770866937","Sul","Sul","incidencia","Região"
"0.831791054087213","1.44366895591642","1.99951891993221","2.63613705139045","3.37682168382071","Centro-Oeste","Centro-Oeste","incidencia","Região"
"143","249","345","454","582","Centro-Oeste","Centro-Oeste","casos","Região"
"250","539","775","1019","1326","Nordeste","Nordeste","casos","Região"
"105","158","215","295","395","Norte","Norte","casos","Região"
"557","1011","1535","2031","2964","Sudeste","Sudeste","casos","Região"
"265","460","684","889","1292","Sul","Sul","casos","Região"
"0.699018622072477","1.13466756528613","1.554918428654","2.07618743173723","3.03230083774353","BR","BR","incidencia","Nacional"
"1492","2422","3319","4431","6472","BR","BR","casos","Nacional"
