Q1;Q3;IC80I;IC80S;IC90I;IC90S;IC95I;IC95S;Casos semanais reportados até a última atualização;casos estimados;média móvel;tendência de longo prazo;tendência de curto prazo;transmissão comunitária;CO_MACSAUD;DS_NOMEPAD_macsaud;CO_UF;DS_UF_SIGLA;População;Semana epidemiológica;Ano epidemiológico;escala
;;;;;;;;4,00000000000000e+00;4,00000000000000e+00;;;;Pré-epidêmica;1101;MACRORREGIONAL II (CACOAL);11;RO;778447;1;2020;casos
;;;;;;;;0,00000000000000e+00;0,00000000000000e+00;2,00000000000000e+00;;;Pré-epidêmica;1101;MACRORREGIONAL II (CACOAL);11;RO;778447;2;2020;casos
;;;;;;;;3,00000000000000e+00;3,00000000000000e+00;1,00000000000000e+00;;;Pré-epidêmica;1101;MACRORREGIONAL II (CACOAL);11;RO;778447;3;2020;casos
;;;;;;;;1,00000000000000e+00;1,00000000000000e+00;2,00000000000000e+00;;;Pré-epidêmica;1101;MACRORREGIONAL II (CACOAL);11;RO;778447;4;2020;casos
;;;;;;;;3,00000000000000e+00;3,00000000000000e+00;2,00000000000000e+00;;;Pré-epidêmica;1101;MACRORREGIONAL II (CACOAL);11;RO;778447;5;2020;casos
;;;;;;;;1,00000000000000e+00;1,00000000000000e+00;2,00000000000000e+00;;;Pré-epidêmica;1101;MACRORREGIONAL II (CACOAL);11;RO;778447;6;2020;casos
;;;;;;;;1,00000000000000e+00;1,00000000000000e+00;2,00000000000000e+00;;;Pré-epidêmica;1101;MACRORREGIONAL II (CACOAL);11;RO;778447;7;2020;casos
;;;;;;;;4,00000000000000e+00;4,00000000000000e+00;2,00000000000000e+00;;;Pré-epidêmica;1101;MACRORREGIONAL II (CACOAL);11;RO;778447;8;2020;casos
;;;;;;;;1,00000000000000e+00;1,00000000000000e+00;4,00000000000000e+00;;;Epidêmica;1101;MACRORREGIONAL II (CACOAL);11;RO;778447;9;2020;casos
;;;;;;;;6,00000000000000e+00;6,00000000000000e+00;3,00000000000000e+00;;;Pré-epidêmica;1101;MACRORREGIONAL II (CACOAL);11;RO;778447;10;2020;casos
;;;;;;;;1,00000000000000e+00;1,00000000000000e+00;4,00000000000000e+00;;;Epidêmica;1101;MACRORREGIONAL II (CACOAL);11;RO;778447;11;2020;casos
;;;;;;;;5,00000000000000e+00;5,00000000000000e+00;4,00000000000000e+00;;;Epidêmica;1101;MACRORREGIONAL II (CACOAL);11;RO;778447;12;2020;casos
;;;;;;;;6,00000000000000e+00;6,00000000000000e+00;1,10000000000000e+01;;;Alta;1101;MACRORREGIONAL II (CACOAL);11;RO;778447;13;2020;casos
;;;;;;;;2,30000000000000e+01;2,30000000000000e+01;1,20000000000000e+01;;;Alta;1101;MACRORREGIONAL II (CACOAL);11;RO;778447;14;2020;casos
;;;;;;;;7,00000000000000e+00;7,00000000000000e+00;1,20000000000000e+01;;;Alta;1101;MACRORREGIONAL II (CACOAL);11;RO;778447;15;2020;casos
;;;;;;;;7,00000000000000e+00;7,00000000000000e+00;7,00000000000000e+00;;;Epidêmica;1101;MACRORREGIONAL II (CACOAL);11;RO;778447;16;2020;casos
;;;;;;;;8,00000000000000e+00;8,00000000000000e+00;6,00000000000000e+00;;;Epidêmica;1101;MACRORREGIONAL II (CACOAL);11;RO;778447;17;2020;casos
;;;;;;;;3,00000000000000e+00;3,00000000000000e+00;6,00000000000000e+00;;;Epidêmica;1101;MACRORREGIONAL II (CACOAL);11;RO;778447;18;2020;casos
;;;;;;;;6,00000000000000e+00;6,00000000000000e+00;9,00000000000000e+00;;;Alta;1101;MACRORREGIONAL II (CACOAL);11;RO;778447;19;2020;casos
;;;;;;;;1,80000000000000e+01;1,80000000000000e+01;1,40000000000000e+01;;;Alta;1101;MACRORREGIONAL II (CACOAL);11;RO;778447;20;2020;casos
;;;;;;;;1,90000000000000e+01;1,90000000000000e+01;2,00000000000000e+01;;;Alta;1101;MACRORREGIONAL II (CACOAL);11;RO;778447;21;2020;casos
;;;;;;;;2,30000000000000e+01;2,30000000000000e+01;2,30000000000000e+01;;;Alta;1101;MACRORREGIONAL II (CACOAL);11;RO;778447;22;2020;casos
;;;;;;;;2,70000000000000e+01;2,70000000000000e+01;2,40000000000000e+01;;;Alta;1101;MACRORREGIONAL II (CACOAL);11;RO;778447;23;2020;casos
;;;;;;;;2,20000000000000e+01;2,20000000000000e+01;2,50000000000000e+01;;;Alta;1101;MACRORREGIONAL II (CACOAL);11;RO;778447;24;2020;casos
;;;;;;;;2,70000000000000e+01;2,70000000000000e+01;2,30000000000000e+01;;;Alta;1101;MACRORREGIONAL II (CACOAL);11;RO;778447;25;2020;casos
;;;;;;;;2,10000000000000e+01;2,10000000000000e+01;2,40000000000000e+01;;;Alta;1101;MACRORREGIONAL II (CACOAL);11;RO;778447;26;2020;casos
;;;;;;;;2,40000000000000e+01;2,40000000000000e+01;2,70000000000000e+01;;;Alta;1101;MACRORREGIONAL II (CACOAL);11;RO;778447;27;2020;casos
;;;;;;;;3,70000000000000e+01;3,70000000000000e+01;3,80000000000000e+01;;;Alta;1101;MACRORREGIONAL II (CACOAL);11;RO;778447;28;2020;casos
;;;;;;;;5,20000000000000e+01;5,20000000000000e+01;5,00000000000000e+01;;;Muito Alta;1101;MACRORREGIONAL II (CACOAL);11;RO;778447;29;2020;casos
;;;;;;;;6,20000000000000e+01;6,20000000000000e+01;5,30000000000000e+01;;;Muito Alta;1101;MACRORREGIONAL II (CACOAL);11;RO;778447;30;2020;casos
;;;;;;;;4,50000000000000e+01;4,50000000000000e+01;5,20000000000000e+01;;;Muito Alta;1101;MACRORREGIONAL II (CACOAL);11;RO;778447;31;2020;casos
;;;;;;;;5,00000000000000e+01;5,00000000000000e+01;4,90000000000000e+01;;;Muito Alta;1101;MACRORREGIONAL II (CACOAL);11;RO;778447;32;2020;casos
;;;;;;;;5,10000000000000e+01;5,10000000000000e+01;5,10000000000000e+01;;;Muito Alta;1101;MACRORREGIONAL II (CACOAL);11;RO;778447;33;2020;casos
;;;;;;;;5,20000000000000e+01;5,20000000000000e+01;4,30000000000000e+01;;;Muito Alta;1101;MACRORREGIONAL II (CACOAL);11;RO;778447;34;2020;casos
;;;;;;;;2,70000000000000e+01;2,70000000000000e+01;4,00000000000000e+01;;;Muito Alta;1101;MACRORREGIONAL II (CACOAL);11;RO;778447;35;2020;casos
;;;;;;;;4,20000000000000e+01;4,20000000000000e+01;3,00000000000000e+01;;;Alta;1101;MACRORREGIONAL II (CACOAL);11;RO;778447;36;2020;casos
;;;;;;;;2,20000000000000e+01;2,20000000000000e+01;2,90000000000000e+01;;;Alta;1101;MACRORREGIONAL II (CACOAL);11;RO;778447;37;2020;casos
;;;;;;;;2,40000000000000e+01;2,40000000000000e+01;2,40000000000000e+01;;;Alta;1101;MACRORREGIONAL II (CACOAL);11;RO;778447;38;2020;casos
